INSERT INTO AssistenciaAceita (id_assistenciaaceita, id_produto, id_prestador, codigo, dataassis, nome_segurado, servico, enderecoretirada, enderecoentrega, veiculo, valorsaida, valorhoraparada, valorhoratrabalhada, valortotalassist)
VALUES 


1,1,19,6775,2024-01-24,Ana Pereira,Remoção,"Rua XV de Novembro, 500","Avenida Paulista, 865",Ford Ka,180.00,40.0,40.0,260.00
2,2,11,9426,2024-01-26,Lucas Rocha,Troca de Pneus,"Avenida Independência, 453","Avenida Tiradentes, 788",VW Gol,80.00,,40.0,120.00
3,1,9,1457,2024-01-01,Paulo Lima,Remoção,"Avenida Independência, 764","Rua Dom Pedro, 16",Honda Civic,180.00,40.0,40.0,260.00
4,1,10,6641,2024-01-14,Clara Gomes,Remoção,"Rua dos Navegantes, 36","Avenida Atlântica, 831",VW Gol,180.00,40.0,40.0,260.00
5,2,12,7221,2024-01-10,Maria Oliveira,Remoção,"Avenida Independência, 413","Avenida Paulista, 608",Harley Davidson,180.00,40.0,40.0,260.00
6,3,4,5908,2024-01-09,João Silva,Carga de Bateria,"Rua das Palmeiras, 540","Rua XV de Novembro, 681",Chevrolet Onix,80.00,,40.0,120.00
7,2,14,1557,2024-01-23,Pedro Barbosa,Troca de Pneus,"Rua das Palmeiras, 337","Rua dos Navegantes, 847",Yamaha Fazer,80.00,,,80.00
8,3,14,2500,2024-01-19,Maria Oliveira,Remoção,"Rua dos Navegantes, 362","Avenida Atlântica, 953",Renault Duster,180.00,,,180.00
9,1,11,9184,2024-01-15,Ana Pereira,Carga de Bateria,"Rua das Flores, 219","Avenida Tiradentes, 80",VW Gol,80.00,40.0,,120.00
10,1,1,9636,2024-01-03,Ana Pereira,Carga de Bateria,"Avenida Paulista, 378","Rua XV de Novembro, 847",VW Gol,80.00,40.0,,120.00
11,2,18,5518,2024-01-20,Ana Pereira,Troca de Pneus,"Avenida Atlântica, 133","Avenida Independência, 79",Fiat Strada,80.00,,,80.00
12,2,11,6816,2024-01-20,Carlos Souza,Carga de Bateria,"Avenida Paulista, 369","Rua das Flores, 978",Ford Ka,80.00,,,80.00
13,3,11,4987,2024-01-06,Ana Pereira,Carga de Bateria,"Rua dos Navegantes, 153","Avenida Paulista, 145",Chevrolet Onix,80.00,,40.0,120.00
14,2,1,9795,2024-01-08,Carlos Souza,Troca de Pneus,"Avenida Independência, 971","Rua Dom Pedro, 534",Chevrolet Onix,80.00,,,80.00
15,3,2,3759,2024-01-26,Pedro Barbosa,Troca de Pneus,"Rua das Flores, 925","Rua Dom Pedro, 523",Harley Davidson,80.00,,,80.00
16,1,17,1473,2024-01-22,Fernanda Ribeiro,Carga de Bateria,"Rua XV de Novembro, 816","Rua dos Navegantes, 911",Fiat Strada,80.00,40.0,40.0,160.00
17,3,11,7282,2024-01-17,Pedro Barbosa,Troca de Pneus,"Avenida Paulista, 848","Avenida Tiradentes, 72",Jeep Renegade,80.00,40.0,40.0,160.00
18,2,11,7932,2024-01-26,Fernanda Ribeiro,Carga de Bateria,"Rua XV de Novembro, 415","Avenida Paulista, 440",Chevrolet Onix,80.00,40.0,40.0,160.00
19,1,20,9374,2024-01-26,Lucas Rocha,Troca de Pneus,"Avenida Tiradentes, 502","Rua XV de Novembro, 863",Honda Civic,80.00,40.0,,120.00
20,3,12,2955,2024-01-03,Lucas Rocha,Remoção,"Rua Dom Pedro, 104","Avenida Tiradentes, 138",Jeep Renegade,180.00,40.0,40.0,260.00
